,location,total_sqft,bath,price,bhk
75,Kothannur,1206.0,2.0,48.23,2
76,Kalena Agrahara,1150.0,2.0,40.0,2
77,other,2511.0,3.0,205.0,3
79,ISRO Layout,4400.0,6.0,250.0,6
80,other,1660.0,2.0,105.0,3
81,Hennur Road,3203.5,2.0,224.5,4
82,Yelahanka,1326.0,2.0,78.0,2
83,Garudachar Palya,1325.0,2.0,60.8,3
84,EPIP Zone,1499.0,5.0,102.0,3
85,Hegde Nagar,3000.0,7.0,210.0,6
86,Kanakpura Road,1665.0,3.0,88.0,3
87,Dasanapura,708.0,2.0,37.0,2
88,Kasavanhalli,1060.0,2.0,58.06,2
90,Sanjay nagar,1000.0,2.0,70.0,2
91,Electronic City,1000.0,2.0,28.88,2
92,other,1450.0,2.0,70.0,3
94,Thanisandra,1296.0,2.0,80.0,2
95,Domlur,1540.0,3.0,90.0,3
96,Kengeri,2894.0,4.0,245.0,4
97,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
98,other,1200.0,2.0,65.0,2
99,other,1200.0,3.0,90.0,3
100,Yeshwanthpur,2502.0,3.0,138.0,3
101,Chandapura,650.0,1.0,17.0,2
102,Kothanur,2400.0,2.0,150.0,3
103,other,1007.0,2.0,43.0,2
104,other,1200.0,2.0,50.0,2
105,other,966.0,2.0,49.9,2
106,Nagarbhavi,1630.0,2.0,98.0,3
108,other,782.0,2.0,55.68,2
109,Devanahalli,1260.0,2.0,66.78,2
110,other,1800.0,3.0,120.0,3
111,other,1413.0,2.0,75.0,3
112,Whitefield,1116.0,2.0,51.91,2
113,Electronic City,1530.0,2.0,45.9,3
114,Ramamurthy Nagar,3700.0,4.0,225.0,4
115,Sarjapur  Road,2497.0,3.0,140.0,3
116,Kengeri,1540.0,2.0,64.0,3
117,Thanisandra,1436.0,3.0,74.75,3
118,Malleshwaram,1100.0,2.0,75.0,2
120,Thanisandra,1427.0,3.0,120.0,3
121,Akshaya Nagar,2061.0,3.0,200.0,3
123,Shampura,2650.0,4.0,150.0,4
124,Devanahalli,1282.0,2.0,68.52,3
125,Kadugodi,1050.0,2.0,34.0,2
126,LB Shastri Nagar,1600.0,3.0,65.0,3
127,other,945.0,2.0,54.0,2
128,Hormavu,1500.0,2.0,78.0,2
130,other,1870.0,3.0,110.0,3
131,Sarjapur,1600.0,3.0,75.0,3
132,Electronic City,880.0,1.0,16.5,2
134,Kudlu Gate,1535.0,3.0,83.0,3
135,Kanakpura Road,950.0,2.0,57.0,2
136,Devanahalli,1360.0,2.0,65.0,2
137,8th Phase JP Nagar,1073.5,2.0,54.005,2
138,Bommasandra Industrial Area,1280.0,3.0,50.4,3
139,other,1260.0,2.0,85.05,3
140,Hennur Road,5000.0,8.0,250.0,8
141,Yelahanka,3050.0,5.0,213.0,5
142,Kasavanhalli,1563.05,3.0,105.0,3
143,ISRO Layout,1000.0,2.0,60.0,2
144,Anandapura,1167.0,2.0,43.76,2
145,Vishveshwarya Layout,4000.0,7.0,225.0,7
146,Kothanur,1828.0,3.0,110.0,3
147,Kengeri Satellite Town,890.0,2.0,35.0,2
148,other,1612.0,3.0,46.74,3
150,Mysore Road,1710.0,4.0,91.31,3
151,Kannamangala,957.0,2.0,58.0,2
152,Devarachikkanahalli,1250.0,2.0,44.0,3
153,other,2795.0,4.0,235.0,3
154,Hulimavu,1125.0,2.0,50.0,2
155,Electronic City Phase II,1020.0,2.0,30.6,2
156,Kalena Agrahara,1200.0,2.0,50.0,2
157,Thanisandra,1735.0,3.0,135.0,3
158,Thanisandra,2050.0,3.0,145.0,3
160,other,1350.0,2.0,48.0,3
161,Hosa Road,1063.0,2.0,32.0,2
162,other,1904.0,3.0,150.0,3
164,other,2000.0,3.0,175.0,3
165,Sarjapur,1242.5,2.0,43.49,2
166,other,1425.0,2.0,75.0,3
167,Electronic City,1500.0,2.0,64.5,3
168,Electronic City,1060.0,2.0,60.0,2
169,other,1470.0,2.0,70.0,3
171,Attibele,450.0,1.0,11.0,1
172,Electronic City,1152.0,2.0,64.5,2
173,Electronic City,1350.0,2.0,56.0,3
174,CV Raman Nagar,1550.0,3.0,65.0,3
175,other,1500.0,3.0,100.0,3
177,Nagavara,400.0,1.0,14.0,1
178,Malleshwaram,705.0,1.0,67.0,1
179,Electronic City,770.0,1.0,36.0,2
180,Hulimavu,1242.0,2.0,51.0,2
181,Hebbal Kempapura,1700.0,3.0,155.0,3
182,Thanisandra,2144.0,3.0,145.0,3
183,Vijayanagar,1704.0,3.0,110.0,3
184,Electronic City,1070.0,2.0,52.0,2
186,other,1340.0,2.0,55.7,2
187,Electronic City,1025.0,2.0,46.0,2
188,KR Puram,1277.5,2.0,56.8,2
189,Marathahalli,1200.0,2.0,52.0,2
190,Kanakpura Road,2250.0,4.0,110.0,4
191,Pattandur Agrahara,1550.0,2.0,80.0,3
194,Marathahalli,1200.0,2.0,60.0,2
195,Yelahanka,1327.0,2.0,98.0,2
196,Kothanur,1186.0,2.0,58.0,2
197,other,1783.0,3.0,115.0,3
198,HSR Layout,1400.0,3.0,56.0,3
199,Nagasandra,980.0,2.0,48.0,2
200,EPIP Zone,1285.0,2.0,82.0,2
201,other,912.0,2.0,70.0,3
202,Whitefield,1225.0,2.0,47.6,2
203,Whitefield,1075.0,2.0,53.0,2
204,Kadugodi,1260.0,2.0,54.0,3
205,Yelahanka,1282.0,2.0,48.7,3
206,Kogilu,1909.0,3.0,88.0,3
207,Panathur,1359.0,2.0,87.0,2
208,other,1207.0,2.0,43.5,2
211,Kammasandra,1595.0,3.0,65.0,3
212,other,1798.0,3.0,89.0,3
213,Electronics City Phase 1,1475.0,3.0,78.29,3
214,other,1580.0,3.0,100.0,3
215,Dasarahalli,1295.0,2.0,65.0,2
216,Magadi Road,3600.0,6.0,141.0,6
217,Electronic City,589.0,1.0,27.0,1
218,other,1415.0,3.0,78.0,3
219,Sarjapur  Road,1787.0,3.0,98.29,3
220,Sarjapur  Road,1787.0,3.0,125.0,3
221,Koramangala,1475.0,2.0,90.0,3
222,other,2000.0,4.0,75.5,4
223,Sarjapur  Road,984.0,2.0,44.28,2
224,Devanahalli,1630.0,2.0,74.82,3
226,7th Phase JP Nagar,1080.0,2.0,72.0,2
227,other,1500.0,2.0,115.0,2
228,Hebbal,1900.0,3.0,119.0,3
229,Dommasandra,805.0,2.0,22.14,2
230,Budigere,1153.0,2.0,56.4,2
231,other,1148.0,2.0,60.0,2
232,other,1110.0,2.0,55.0,2
233,Electronic City,1100.0,2.0,42.0,2
234,Kalyan nagar,1290.0,2.0,110.0,2
235,other,1500.0,2.0,65.0,3
236,other,1080.0,2.0,39.0,2
237,Vijayanagar,1933.0,3.0,129.0,3
238,Ramamurthy Nagar,3500.0,5.0,150.0,5
239,other,1060.0,2.0,60.0,2
240,Chandapura,645.0,1.0,16.45,1
241,other,2600.0,8.0,180.0,8
242,Chandapura,645.0,1.0,16.45,1
243,other,1644.0,3.0,84.0,3
244,other,1285.0,2.0,72.5,2
245,Electronic City,1200.0,3.0,90.0,3
246,Electronic City,910.0,2.0,40.0,2
247,Kothanur,1577.0,3.0,70.0,3
249,OMBR Layout,2420.0,3.0,185.0,3
250,Chandapura,800.0,1.0,20.0,2
251,other,1060.0,2.0,55.0,2
252,7th Phase JP Nagar,1270.0,2.0,93.0,2
253,other,900.0,2.0,22.5,2
254,other,1280.0,2.0,69.0,2
255,Horamavu Agara,1200.0,2.0,95.0,4
256,Sarjapur  Road,1025.0,2.0,36.0,2
257,Electronic City,1108.0,2.0,63.0,2
260,Ambedkar Nagar,2900.0,3.0,300.0,4
261,Vijayanagar,1500.0,3.0,75.5,3
262,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
263,Budigere,1162.0,2.0,59.9,2
264,Sarjapur  Road,1035.0,2.0,49.2,2
265,Attibele,1600.0,4.0,52.8,4
266,other,1464.0,3.0,46.0,3
267,Hennur Road,1866.0,2.0,61.58,3
268,other,700.0,1.0,26.0,2
269,Kalena Agrahara,1804.0,3.0,120.0,3
270,Sarjapur,913.0,2.0,32.0,2
271,Talaghattapura,1868.0,3.0,131.0,3
272,Kengeri Satellite Town,883.0,2.0,45.0,2
274,Kogilu,1664.0,2.0,73.95,3
275,Hegde Nagar,2026.0,3.0,132.0,3
276,Balagere,1210.0,2.0,80.9,2
278,Kadugodi,1762.0,3.0,91.45,3
279,Jigani,1252.0,3.0,55.0,3
280,Gollarapalya Hosahalli,861.0,2.0,34.5,2
281,7th Phase JP Nagar,1420.0,2.0,100.0,3
283,Electronics City Phase 1,1490.0,3.0,78.8,3
284,Bisuvanahalli,1075.0,2.0,46.0,3
285,Old Madras Road,1425.0,2.0,94.0,3
286,Kalena Agrahara,1200.0,2.0,40.0,2
287,Kaggadasapura,1280.0,2.0,56.0,3
288,other,1084.0,2.0,50.0,2
289,Chandapura,1015.0,2.0,25.88,2
290,Kanakpura Road,1017.0,2.0,51.25,2
291,Haralur Road,1027.0,2.0,44.0,2
292,Electronic City Phase II,1069.0,2.0,45.0,2
293,Hebbal,1349.0,2.0,98.2,2
294,9th Phase JP Nagar,1005.0,2.0,50.0,2
295,Jakkur,1417.0,2.0,75.0,2
296,TC Palaya,1475.0,3.0,98.0,3
297,other,950.0,2.0,47.0,2
298,other,2000.0,4.0,120.0,4
300,Sarjapur  Road,1863.0,3.0,104.0,4
301,Singasandra,1010.0,2.0,29.5,2
302,Kalena Agrahara,1425.0,2.0,70.0,3
303,Vijayanagar,1450.0,3.0,100.0,3
304,Kothanur,1847.0,3.0,105.0,3
305,AECS Layout,1100.0,2.0,45.0,2
306,Kanakpura Road,525.0,1.0,26.0,1
307,Mallasandra,1665.0,3.0,95.0,3
308,Begur,1664.0,4.0,65.0,4
309,JP Nagar,1850.0,3.0,150.0,3
310,Panathur,1438.0,2.0,100.0,2
311,other,1560.0,3.0,115.0,3
312,Yelahanka,1350.0,2.0,55.55,2
313,Kanakpura Road,1550.0,3.0,67.0,3
314,Malleshpalya,1140.0,2.0,46.5,2
316,other,850.0,2.0,27.0,2
317,Whitefield,1280.0,2.0,75.0,2
318,Munnekollal,1170.0,2.0,52.0,2
319,other,1113.0,2.0,51.0,2
320,Hennur Road,1385.0,2.0,83.09,2
321,Electronic City,1128.0,2.0,65.0,2
326,Haralur Road,1464.0,3.0,56.0,3
327,other,1200.0,2.0,55.0,2
328,Kaval Byrasandra,1200.0,2.0,52.0,2
329,Kaggalipura,1150.0,2.0,55.0,3
330,other,1645.0,3.0,95.0,3
331,Sarjapur  Road,1000.0,2.0,67.0,2
332,Haralur Road,2650.0,4.0,198.0,4
333,6th Phase JP Nagar,1192.0,2.0,74.0,2
334,Ulsoor,2135.0,3.0,215.0,3
335,Whitefield,1173.0,2.0,58.0,2
336,Uttarahalli,1020.0,2.0,45.0,2
337,Thigalarapalya,3122.0,6.0,230.0,4
338,Somasundara Palya,1600.0,3.0,64.0,3
339,other,1200.0,2.0,79.0,2
340,other,1230.0,2.0,48.0,2
341,Devarachikkanahalli,1250.0,2.0,40.0,2
342,Kalena Agrahara,1325.0,2.0,76.0,2
343,7th Phase JP Nagar,1850.0,3.0,150.0,3
344,Kanakpura Road,525.0,2.0,21.53,1
345,Basaveshwara Nagar,1200.0,2.0,65.0,2
346,other,1350.0,2.0,140.0,3
347,Bommasandra,1260.0,3.0,49.36,3
348,other,1800.0,3.0,150.0,3
350,Ardendale,1100.0,2.0,43.25,2
351,Harlur,1508.0,2.0,77.0,2
352,other,1592.0,3.0,75.0,3
353,Akshaya Nagar,1388.0,2.0,57.0,2
354,Electronic City Phase II,630.0,1.0,28.35,1
356,other,1762.0,3.0,125.0,3
357,other,950.0,2.0,50.0,2
358,Kodihalli,3252.0,5.0,335.0,4
359,Magadi Road,1116.0,2.0,50.0,2
360,Narayanapura,1308.0,2.0,89.04,2
361,other,1200.0,3.0,90.0,3
363,Bannerghatta Road,500.0,1.0,18.5,1
364,Hennur,1075.0,2.0,52.0,2
365,Chandapura,530.0,1.0,11.66,1
366,Bellandur,1205.0,2.0,66.0,2
367,5th Phase JP Nagar,1075.0,2.0,60.0,2
368,KR Puram,930.0,2.0,39.0,2
369,Balagere,1380.0,2.0,60.0,2
370,Hebbal,2483.0,5.0,212.0,4
371,Kodigehaali,1166.0,2.0,55.0,2
372,Bannerghatta Road,1050.0,2.0,65.0,2
374,Begur Road,1200.0,2.0,46.8,2
375,Lakshminarayana Pura,1600.0,2.0,108.0,3
376,Billekahalli,1935.0,3.0,110.0,3
377,8th Phase JP Nagar,451.0,1.0,29.9,1
378,Electronic City,1800.0,3.0,95.0,3
379,Jalahalli,1400.0,3.0,77.0,3
380,Hegde Nagar,1801.0,3.0,115.0,3
381,Mahadevpura,1451.0,2.0,90.0,2
382,Anekal,1200.0,1.0,36.0,2
383,Begur Road,1160.0,2.0,44.0,2
384,Kengeri,1000.0,2.0,25.0,2
385,Kanakpura Road,950.0,2.0,40.0,2
386,other,1629.0,3.0,79.0,3
387,Vijayanagar,1580.0,2.0,134.0,3
388,Vijayanagar,1826.0,3.0,121.0,3
389,7th Phase JP Nagar,1245.0,2.0,94.0,2
390,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
391,Sompura,825.0,2.0,33.0,2
392,Yeshwanthpur,1693.0,3.0,108.0,3
393,Electronics City Phase 1,1113.27,2.0,53.0,2
394,other,1460.0,2.0,58.0,2
395,Doddathoguru,1050.0,2.0,32.0,2
396,Dodda Nekkundi,1260.0,2.0,55.0,2
398,Hosur Road,1656.0,2.0,120.0,2
399,Chandapura,1208.0,3.0,45.0,3
400,Whitefield,1910.0,3.0,161.0,3
401,Whitefield,3252.0,4.0,230.0,4
402,Battarahalli,1200.0,2.0,65.0,2
404,7th Phase JP Nagar,1175.0,2.0,82.0,2
406,Bannerghatta Road,1200.0,2.0,125.0,4
410,Kengeri,368.722,1.0,18.5,1
411,other,1185.0,2.0,38.0,2
412,Kengeri,750.0,2.0,38.0,2
414,Kanakpura Road,1550.0,3.0,64.5,3
415,other,1760.0,3.0,88.0,3
416,Billekahalli,1125.0,2.0,62.0,2
418,Anandapura,1000.0,2.0,55.0,2
419,Bommasandra Industrial Area,1090.0,2.0,31.48,2
420,TC Palaya,1200.0,2.0,60.0,2
421,Budigere,1991.0,4.0,103.0,3
422,Bommasandra,1060.0,2.0,26.5,2
423,Ambalipura,1105.0,2.0,75.0,2
424,Hoodi,985.0,2.0,67.0,2
426,Balagere,1590.0,3.0,79.0,3
427,CV Raman Nagar,1120.0,2.0,55.0,2
428,other,1069.0,2.0,55.0,2
429,Marathahalli,1933.0,3.0,140.0,3
430,Hosur Road,1194.0,2.0,69.0,2
431,Brookefield,1150.0,2.0,69.0,2
432,Yelenahalli,1240.0,2.0,47.12,2
433,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
436,other,1450.0,3.0,55.0,3
437,other,1630.0,3.0,68.29,3
438,Dasanapura,708.0,1.0,40.0,2
441,Bellandur,1250.0,2.0,76.0,2
442,7th Phase JP Nagar,1400.0,2.0,95.0,3
443,Sarjapur  Road,1670.0,2.0,57.0,3
444,Ardendale,1750.0,3.0,100.0,3
445,Vittasandra,1404.0,2.0,71.0,2
446,Hoodi,1715.0,2.0,95.0,3
447,Electronic City,630.0,1.0,34.65,1
448,Harlur,1752.12,3.0,135.0,3
449,Hulimavu,1650.0,3.0,78.0,3
450,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
452,Sarjapur  Road,1346.0,2.0,74.03,2
454,Hormavu,1150.0,2.0,55.0,2
455,other,3309.0,4.0,325.0,4
456,Chandapura,1190.0,2.0,30.35,3
457,AECS Layout,1620.0,3.0,98.0,3
458,Marathahalli,950.0,2.0,46.96,2
460,Harlur,2450.0,3.0,120.0,3
461,Electronic City Phase II,1220.0,2.0,35.23,3
462,other,850.0,2.0,30.0,2
463,Padmanabhanagar,1020.0,2.0,63.0,2
464,Chikkalasandra,1100.0,2.0,50.0,2
466,Hebbal,1760.0,2.0,130.0,3
467,Ambalipura,1800.0,3.0,110.0,3
468,Akshaya Nagar,1070.0,2.0,54.0,2
470,Vidyaranyapura,1440.0,2.0,95.0,2
471,Amruthahalli,900.0,2.0,40.0,2
473,Whitefield,1130.0,2.0,42.16,2
475,Kodigehalli,1270.0,2.0,98.0,2
476,other,1200.0,2.0,62.0,2
478,other,1200.0,2.0,74.0,2
479,Subramanyapura,929.0,2.0,50.17,2
484,other,1464.0,3.0,56.0,3
486,other,2000.0,4.0,99.0,4
487,Chikkalasandra,1208.0,2.0,49.0,2
488,Hebbal Kempapura,1130.0,2.0,60.0,2
489,other,1753.0,3.0,120.0,3
490,Old Madras Road,4500.0,7.0,337.0,5
492,Hoodi,1196.0,2.0,94.42,2
493,5th Phase JP Nagar,1150.0,3.0,52.5,2
494,Electronic City,1128.0,2.0,63.0,2
495,other,1000.0,2.0,53.0,2
496,Yelahanka,1035.0,2.0,45.0,2
497,Kereguddadahalli,950.0,2.0,32.0,2
498,Bisuvanahalli,1075.0,2.0,36.0,3
499,Whitefield,1040.0,2.0,48.5,2
500,other,720.0,2.0,45.0,2
501,Lingadheeranahalli,1511.0,3.0,95.0,3
502,other,1300.0,3.0,58.0,3
503,Hoodi,1545.0,3.0,68.75,3
504,Shampura,375.0,2.0,26.0,1
505,Vidyaranyapura,1062.0,2.0,38.0,2
506,other,1115.0,2.0,40.0,2
507,JP Nagar,1000.0,2.0,35.0,2
508,Kambipura,883.0,2.0,45.0,2
509,Sarjapur  Road,1195.0,2.0,70.0,2
511,other,700.0,1.0,41.0,1
512,Vittasandra,1246.0,2.0,67.0,2
515,other,1600.0,4.0,80.0,4
516,Haralur Road,2805.0,5.0,154.0,4
517,Begur Road,1584.0,3.0,65.0,3
518,Sector 7 HSR Layout,3000.0,5.0,275.0,4
519,Hosur Road,1175.0,2.0,48.0,3
520,other,1595.0,3.0,115.0,3
521,other,1353.0,2.0,110.0,2
522,Electronic City,1599.0,3.0,125.0,3
523,Whitefield,1150.0,2.0,70.0,2
525,KR Puram,1155.0,2.0,42.74,2
527,Electronic City Phase II,1000.0,2.0,25.0,2
528,Thanisandra,3000.0,4.0,120.0,4
529,Rajiv Nagar,1867.0,3.0,160.0,3
530,Ramagondanahalli,1251.0,2.0,47.0,2
531,other,1028.0,2.0,45.5,2
532,Arekere,1222.0,2.0,45.0,2
533,Bannerghatta Road,1170.0,2.0,66.0,3
534,Hebbal,2400.0,4.0,245.0,3
535,other,1385.0,2.0,48.48,3
536,HSR Layout,1372.0,2.0,68.0,2
537,Magadi Road,1282.0,2.0,49.0,3
540,Kanakpura Road,1135.0,2.0,39.73,2
541,Whitefield,1768.0,3.0,101.0,3
542,other,1325.0,2.0,90.0,3
543,Electronic City,1599.0,3.0,99.0,3
544,Whitefield,1500.0,3.0,61.95,3
546,Uttarahalli,1286.0,2.0,63.0,2
547,Kammanahalli,2845.0,5.0,140.0,5
548,other,1600.0,2.0,50.0,3
549,Hennur Road,1317.5,2.0,63.77,2
551,Munnekollal,1102.0,2.0,53.67,2
552,Yelahanka,1350.0,2.0,54.0,2
553,Banashankari,1200.0,2.0,42.0,3
555,other,1800.0,1.0,80.0,2
556,Chikkabanavar,950.0,2.0,40.0,2
557,Kanakpura Road,525.0,1.0,27.25,1
558,Attibele,656.0,2.0,25.0,2
559,Marathahalli,1780.0,4.0,175.0,4
560,other,1056.0,2.0,80.0,2
561,Bannerghatta Road,595.0,1.0,33.32,1
562,other,1080.0,2.0,50.0,2
563,7th Phase JP Nagar,2225.0,3.0,160.0,3
564,Bommasandra,1126.0,2.0,28.15,2
565,Electronics City Phase 1,1490.0,3.0,84.0,3
567,Sarjapur  Road,1550.0,3.0,100.0,3
568,Whitefield,1600.0,3.0,86.0,3
569,other,1160.0,2.0,55.0,2
571,Sarjapur  Road,2100.0,3.0,125.0,3
572,Vittasandra,1404.0,2.0,69.3,2
573,Sarjapur  Road,2230.0,4.0,225.0,4
574,other,1544.0,3.0,120.0,3
575,Banashankari Stage III,1305.0,2.0,58.7,3
576,Marathahalli,1230.0,2.0,80.0,2
577,other,1200.0,2.0,65.0,2
578,Harlur,1460.0,3.0,73.0,3
579,Sarjapur  Road,1800.0,2.0,34.185,2
580,Gottigere,967.0,2.0,45.0,2
581,other,540.0,1.0,36.0,1
582,Hormavu,715.0,1.0,46.0,1
585,Mysore Road,1020.0,2.0,48.95,2
586,Jigani,1020.0,2.0,40.0,2
587,Koramangala,1253.0,2.0,102.0,2
588,other,1180.0,2.0,42.0,2
589,Nehru Nagar,961.0,2.0,38.0,2
590,Kanakapura,1419.0,3.0,75.0,3
591,Harlur,1709.0,3.0,150.0,3
592,other,1600.0,2.0,115.0,2
593,other,416.0,1.0,18.5,1
594,Sanjay nagar,1100.0,2.0,98.0,2
595,HSR Layout,1430.0,2.0,65.0,3
596,other,1260.0,2.0,45.0,2
597,other,1630.0,3.0,85.0,3
598,Sarjapur  Road,1249.0,3.0,44.71,3
599,Kalena Agrahara,1450.0,2.0,85.0,3
600,Konanakunte,2791.0,3.0,223.0,3
602,other,834.0,1.0,60.0,1
603,other,1125.0,4.0,70.0,3
604,Arekere,2060.0,3.0,140.0,3
606,Gottigere,891.0,2.0,25.0,2
607,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2
608,Bisuvanahalli,1075.0,2.0,37.0,3
609,other,3000.0,5.0,260.0,4
611,Vidyaranyapura,1200.0,2.0,55.0,2
612,Thanisandra,1075.0,2.0,45.8,2
613,Kaggadasapura,1140.0,2.0,40.0,2
616,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2
617,R.T. Nagar,1500.0,4.0,70.0,4
619,Whitefield,1790.0,3.0,100.0,3
620,Hebbal,1920.0,3.0,134.0,3
621,HRBR Layout,1374.0,2.0,95.0,2
622,Bannerghatta Road,1445.0,3.0,95.0,3
623,Kanakapura,711.0,1.0,36.0,1
624,Tumkur Road,1500.0,3.0,95.0,3
625,Whitefield,1720.0,3.0,100.0,3
626,Vasanthapura,1400.0,3.0,60.0,3
627,Kundalahalli,1030.0,2.0,49.0,2
628,Mysore Road,1200.0,2.0,85.0,2
629,other,1375.0,3.0,70.0,3
630,Hegde Nagar,1050.0,1.0,56.0,2
631,Jalahalli,2250.0,3.0,160.0,3
632,Bellandur,1000.0,2.0,50.0,2
633,other,469.0,1.0,25.0,1
634,Marathahalli,3800.0,4.0,250.0,4
635,Kambipura,883.0,2.0,29.0,2
636,GM Palaya,1820.0,2.0,86.0,3
637,Singasandra,1440.0,2.0,65.0,3
638,other,3600.0,4.0,160.0,6
640,Mahadevpura,1225.0,2.0,48.0,2
642,Chikkalasandra,875.0,2.0,52.8,2
643,Jalahalli East,750.0,1.0,40.0,1
644,6th Phase JP Nagar,1180.0,2.0,80.0,2
645,Haralur Road,1194.0,2.0,47.0,2
646,Hennur Road,1500.0,2.0,62.0,3
647,other,1160.0,2.0,52.2,2
650,Sarjapur,1128.0,2.0,60.0,2
651,Hebbal,1500.0,3.0,150.0,3
652,other,1220.0,2.0,35.23,3
653,Sarjapur  Road,1210.0,2.0,58.0,2
654,Kanakpura Road,1100.0,2.0,58.0,3
655,Bommasandra,1200.0,3.0,46.0,3
656,Haralur Road,3385.0,5.0,260.0,4
657,other,1641.0,3.0,66.0,3
658,Horamavu Agara,1200.0,2.0,45.0,2
659,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
660,Mahadevpura,1720.0,3.0,78.0,3
661,Yelahanka,1132.5,2.0,48.13,2
662,Yelahanka,1210.0,2.0,45.98,2
663,Indira Nagar,2200.0,4.0,200.0,4
664,Bisuvanahalli,1075.0,2.0,45.0,3
665,Thanisandra,1702.0,3.0,130.0,3
667,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
668,other,2072.0,3.0,108.0,3
670,other,1200.0,2.0,70.0,3
671,other,1350.0,3.0,77.0,3
673,other,1180.0,2.0,78.34,3
675,other,1355.0,2.0,115.0,2
676,other,600.0,1.0,50.0,1
678,Bannerghatta Road,1640.0,2.0,120.0,3
680,Kodichikkanahalli,1190.0,2.0,57.0,3
682,Marathahalli,1019.0,2.0,49.85,2
683,other,1875.0,3.0,165.0,3
684,Akshaya Nagar,1250.0,3.0,40.0,3
686,Whitefield,1140.0,2.0,56.0,2
687,Lingadheeranahalli,1683.0,3.0,109.0,3
688,Kaggadasapura,1515.0,3.0,83.3,3
689,Hoodi,2118.0,4.0,111.0,4
690,Bannerghatta Road,1380.0,3.0,58.0,4
691,Varthur Road,1083.0,2.0,61.75,2
692,other,600.0,2.0,55.0,2
693,other,2300.0,3.0,120.0,3
694,other,1240.0,2.0,60.0,2
695,other,1750.0,3.0,120.0,3
696,other,1230.0,2.0,43.48,2
697,Anjanapura,1500.0,3.0,139.0,3
698,Abbigere,985.0,2.0,40.39,2
